Feature	r2_score	cell_count_coef	dose_coef	intercept
Cytoplasm_AreaShape_Area	0.021107902636333997	-0.00015090559868200114	0.054435612518780874	0.01559175909002447
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.00012749620444318932	-2.916807666211324e-05	0.004146986332247206	0.013989928351184224
Cytoplasm_AreaShape_Compactness	0.08628690946213458	-0.00016072221440336073	-0.09978276361152529	0.2898585384924018
Cytoplasm_AreaShape_Eccentricity	0.0114213287982593	-0.00011107710904248883	-0.03792318148590531	0.09059186827873672
Cytoplasm_AreaShape_Extent	0.0602599166386808	0.0003005012618562585	0.0855541217917039	-0.29861945324494427
Cytoplasm_AreaShape_FormFactor	0.0899174131810353	-7.634485875353677e-05	0.11121131962565795	-0.19117079114862445
Cytoplasm_AreaShape_MajorAxisLength	0.0038899124400142426	-0.0003023889417877905	-0.015454694610827041	0.17096877847920666
Cytoplasm_AreaShape_MinorAxisLength	0.023235065679956146	4.4332192456735134e-05	0.055126720939216084	-0.06778698741350718
Cytoplasm_AreaShape_Orientation	0.00041850034863677443	-2.6228691434072415e-06	0.007405249151781148	-0.03734557485666726
Cytoplasm_AreaShape_Perimeter	0.01752524575212122	-0.00018897044513604407	-0.044697574830806004	0.21848487362361146
Cytoplasm_AreaShape_Solidity	0.08932569262360002	0.00024378557389747395	0.10626260713756172	-0.34308969469878736
Cytoplasm_AreaShape_Zernike_0_0	0.05679304087249015	0.00026337714693424675	0.08392228807406163	-0.25916768708934
Cytoplasm_AreaShape_Zernike_1_1	0.010280420790688582	-0.00011888910786641236	0.03743191233176801	0.0072257871282634945
Cytoplasm_AreaShape_Zernike_2_0	0.07932356348908731	0.0003738399678638238	0.09790557795762085	-0.35929638103595846
Cytoplasm_AreaShape_Zernike_2_2	0.02058694092928437	0.0001607722477728669	0.050356309622337704	-0.16747390021547975
Cytoplasm_AreaShape_Zernike_3_1	0.006142921617412922	5.920694486150123e-05	0.027655777268078028	-0.08355530897140324
Cytoplasm_AreaShape_Zernike_4_0	0.004138875699953859	-0.00020107210549553416	-0.02082888521472162	0.1636072126679875
Cytoplasm_AreaShape_Zernike_4_2	0.021095415871953627	0.00018755818383821082	0.05042042214651782	-0.18655701661090443
Cytoplasm_AreaShape_Zernike_5_1	0.00020483142647553798	-0.00013849304258026077	0.003006358496695595	0.08235192654641194
Cytoplasm_AreaShape_Zernike_5_3	0.011203020082529047	0.00014960154261620213	0.03682973488797747	-0.14737824383672046
Cytoplasm_AreaShape_Zernike_6_0	0.0001754320117860475	-0.0001237142598847037	0.0033275941211320685	0.08268934415739299
Cytoplasm_AreaShape_Zernike_6_2	9.304914478858173e-05	7.407410429721317e-05	0.0017351965218075215	-0.04245717629416247
Cytoplasm_AreaShape_Zernike_6_4	0.014304796863466196	0.00023998591186114157	0.04033905565447111	-0.20888265160433306
Cytoplasm_AreaShape_Zernike_7_1	0.004770477400939388	-3.289680255656093e-05	0.02535930013567253	-0.0023601862625749134
Cytoplasm_AreaShape_Zernike_7_3	0.002587688917715991	0.00012128138022049449	0.01677891072117654	-0.10167343567021567
Cytoplasm_AreaShape_Zernike_8_0	0.00712514101928452	-7.730857817032429e-05	0.031608791865563604	-0.0010533518598864824
Cytoplasm_AreaShape_Zernike_8_2	0.003395567956856693	-3.984604998785625e-05	0.021326291187098976	-0.013845180008025119
Cytoplasm_AreaShape_Zernike_8_4	0.0007309683835445835	0.00016686021650088716	0.006529430185302156	-0.09726918520161436
Cytoplasm_AreaShape_Zernike_9_1	0.018113882887254795	0.00020858431551564472	0.047026710471849496	-0.17727739107682036
Cytoplasm_AreaShape_Zernike_9_3	0.0033495880745050277	0.0001239919892305291	0.01940704918931002	-0.10704598137078894
Cytoplasm_AreaShape_Zernike_9_5	0.0008995953405772639	0.00017632621972352757	0.00742038221071335	-0.10859310075554102
Cytoplasm_Correlation_Correlation_Actin_ER	0.01026917925085935	-0.00012419869112551533	0.0355668907992445	0.02151164617336844
Cytoplasm_Correlation_Correlation_Actin_Hoechst	0.012538139074826482	-0.00020300561168682134	0.040705230687566825	0.0191941922913443
Cytoplasm_Correlation_Correlation_ER_Hoechst	0.026364433634761264	-0.00023463843515556435	0.060075843588898836	-0.025516660763597005
Cytoplasm_Correlation_Correlation_ER_Mitochondria	0.1133955326556868	0.0014654644198920349	0.10364593156145809	-1.0871825692506474
Cytoplasm_Correlation_Correlation_ER_PM	0.1406258541481542	0.0008880813085962897	0.13810000118833984	-0.9672745439283653
Cytoplasm_Correlation_Correlation_Hoechst_Mitochondria	0.007950575433407603	-0.0005827574715627509	-0.019926016109332874	0.3578613761083465
Cytoplasm_Correlation_Correlation_Hoechst_PM	0.016813640332596802	-0.00032219079399065277	0.05136776652818539	-0.030668164412866072
Cytoplasm_Correlation_Correlation_Mitochondria_PM	0.020692164304571548	0.0005707770706251515	0.05302777472542906	-0.7270600783237846
Cytoplasm_Correlation_K_Actin_ER	0.036887362352274966	0.0010350445750773494	0.04853667890107824	-0.6600625597318291
Cytoplasm_Correlation_K_ER_Actin	0.019522196994785523	-0.0011264734526924356	-0.019417307412824443	0.617996008420681
Cytoplasm_Correlation_K_ER_Hoechst	0.10112593210479848	0.001184543440934709	0.07756541585492883	-0.8947402894435654
Cytoplasm_Correlation_K_Hoechst_ER	0.10227948150396249	-0.001267492074884639	-0.0987514379834124	0.9398839761356726
Cytoplasm_Correlation_K_Hoechst_Mitochondria	0.0926320854002558	-0.0008818463896423618	-0.09885332938220866	0.6577113593858162
Cytoplasm_Correlation_K_Mitochondria_Hoechst	0.08087779862186739	0.0002298428418813445	0.10270954329291777	-0.31157904040568585
Cytoplasm_Correlation_Manders_Actin_Hoechst	0.07713318058274865	-0.0010508982792767061	-0.08383732275568771	0.7625264650878151
Cytoplasm_Correlation_Manders_PM_Hoechst	0.09448461570427524	-0.0011630823995768251	-0.09379034053741585	0.8815765736415072
Cytoplasm_Correlation_Overlap_ER_Hoechst	0.029215926956516314	0.0008273621768308756	0.04778647970339999	-0.6092489266503556
Cytoplasm_Correlation_Overlap_Hoechst_Mitochondria	0.0039057550778158756	-7.946547671192541e-05	-0.02071674340297836	0.12675630651117525
Cytoplasm_Correlation_RWC_Actin_Mitochondria	0.01996324546912065	-0.0007798378241570347	-0.03673572144365073	0.6249059137537274
Cytoplasm_Correlation_RWC_Actin_PM	0.0032014144572390935	0.0002559919107217889	0.01738072345729721	-0.24498396194287686
Cytoplasm_Correlation_RWC_ER_Hoechst	0.10408899095353163	-0.0015034912875755908	-0.09485847443653019	1.043464800503473
Cytoplasm_Correlation_RWC_ER_PM	0.02906344106512626	0.00017738146388789018	0.06669172789292152	-0.4423647232650902
Cytoplasm_Correlation_RWC_Hoechst_ER	0.016293033390012313	0.0004604829262377096	0.03924687464855424	-0.3068999511663305
Cytoplasm_Correlation_RWC_Hoechst_Mitochondria	0.008434064926958307	0.00039707903144529954	0.026909124346986543	-0.22474559656027307
Cytoplasm_Correlation_RWC_Mitochondria_ER	0.0015918487243906654	0.0003925896851365936	-0.008703779727247703	-0.11828443340304352
Cytoplasm_Correlation_RWC_Mitochondria_Hoechst	0.10570984676613704	-0.0012747514921580114	-0.10541287119647219	0.9642289410694647
Cytoplasm_Correlation_RWC_Mitochondria_PM	0.02003002409641408	8.427254179169976e-05	0.05745763031556643	-0.3513827457876473
Cytoplasm_Correlation_RWC_PM_Actin	0.049111118685166155	-0.0011716778048369153	-0.053548278198714515	0.8329519465119962
Cytoplasm_Correlation_RWC_PM_Mitochondria	0.0075794183320472275	-0.0005809454673179812	0.031825877266292005	0.3052806217997134
Cytoplasm_Granularity_1_ER	0.08310749956906727	-0.0009700086348968251	-0.09270007875163579	0.7463926452586908
Cytoplasm_Granularity_1_PM	0.10214085680214335	-0.0010550429640762832	-0.10874365603277356	0.8962233925495124
Cytoplasm_Granularity_2_ER	0.005338643308381741	-8.695862273617815e-05	-0.024645938420428597	0.08758875679146799
Cytoplasm_Intensity_IntegratedIntensityEdge_Hoechst	0.08953304231266312	-0.0010667397695726336	-0.07999851167002864	0.5458465131590138
Cytoplasm_Intensity_IntegratedIntensity_Actin	0.09197152602158887	-0.002307112793097612	-0.05549837718871587	1.3314157918284248
Cytoplasm_Intensity_IntegratedIntensity_ER	0.048086680429782036	-0.0013594304312448827	-0.052886193671282014	0.8306734567019439
Cytoplasm_Intensity_IntegratedIntensity_Hoechst	0.015145375038268849	-0.0008752363029278572	0.037694322300233875	0.349333113101309
Cytoplasm_Intensity_IntegratedIntensity_Mitochondria	0.012454852519781623	-0.0007757307912822849	-0.021593258427927104	0.35101442613589384
Cytoplasm_Intensity_IntegratedIntensity_PM	0.01704092041795613	-0.0012396023574433412	0.031404335315608906	0.5798741326848545
Cytoplasm_Intensity_LowerQuartileIntensity_PM	0.04559087913897375	-0.0007355387924285466	-0.06135291550813773	0.49672345504131254
Cytoplasm_Intensity_MADIntensity_Actin	0.15639379626025496	-0.0019864443748973185	-0.09266008098667959	1.2104633082146674
Cytoplasm_Intensity_MADIntensity_ER	0.12296565153312833	-0.0010784617696109014	-0.0963211054566129	0.6938030937491402
Cytoplasm_Intensity_MADIntensity_Hoechst	0.07518984126739725	-0.0008518115154300456	-0.050451404667327726	0.46498843478866636
Cytoplasm_Intensity_MassDisplacement_ER	0.02265998438532668	-0.0005733617752929457	-0.04533020849800128	0.3894342024578723
Cytoplasm_Intensity_MassDisplacement_Hoechst	0.042791378616242826	-0.0005832657827340242	-0.0641736473110277	0.38962227807198413
Cytoplasm_Intensity_MassDisplacement_Mitochondria	0.009433116044506806	-4.869954606313301e-05	-0.03320704546695858	0.058551649476808965
Cytoplasm_Intensity_MassDisplacement_PM	0.015980175976944233	-0.00045570912625398513	-0.038638571134107236	0.3059823669874642
Cytoplasm_Intensity_MaxIntensityEdge_Hoechst	0.009103163003635562	3.6686332597881455e-06	0.028398551089826942	-0.2449285723172741
Cytoplasm_Intensity_MaxIntensity_Actin	0.05071542541536078	-0.0016484441477648353	-0.04303387257601134	0.8884303918654096
Cytoplasm_Intensity_MaxIntensity_ER	0.09965368168905875	-0.0014784406427110737	-0.08474055450645078	0.9029506871262835
Cytoplasm_Intensity_MaxIntensity_Hoechst	0.006922245520607162	3.628393305739038e-05	0.025030637294374408	-0.22593578538472686
Cytoplasm_Intensity_MaxIntensity_Mitochondria	0.02459218491734394	-0.0003192826604248135	-0.051343617672472315	0.03156314539316357
Cytoplasm_Intensity_MaxIntensity_PM	0.013509479600541496	-0.0007056160645856587	-0.03077858231080572	0.535561501375645
