,Metadata_WellRow,Metadata_WellCol,Metadata_heart_number,Metadata_cell_type,Metadata_heart_failure_type,Metadata_treatment,Metadata_Cells_Location_Center_X,Metadata_Cells_Location_Center_Y,Metadata_Image_Count_Cells,Metadata_ImageNumber,Metadata_Plate,Metadata_Well,Metadata_Cells_Number_Object_Number,Metadata_Cytoplasm_Parent_Cells,Metadata_Cytoplasm_Parent_Nuclei,Metadata_Nuclei_Number_Object_Number,Metadata_Site,UMAP0,UMAP1
16339,F,6,7,Healthy,,,193.6842438715337,646.0902090745163,18,708.0,,F06,13.0,13.0,24.0,24.0,f03,1.7207893,4.821892
17132,F,8,7,Healthy,,,225.6126689098969,810.9837632857982,18,743.0,,F08,17.0,17.0,24.0,24.0,f06,1.6851013,4.573865
18107,F,11,23,Failing,Dilated_Cardiomyopathy,,396.6580936903837,730.722532325302,31,787.0,,F11,11.0,11.0,12.0,12.0,f02,2.1855767,3.820628
